Disease,Symptom,Medicine,Precaution,Tests,Treatment Duration,Disease_Description,Consultation_Description,Nutrition_Description
Migraine,"headache, acidity, blurred and distorted vision, depression, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances","Sumatriptan, Ibuprofen, Amitriptyline","Avoid triggers, Get adequate rest, Stay hydrated","MRI, CT scan, Blood tests (to rule out other causes)",Variable (episodic treatment with acute management),A neurological condition causing severe headaches and sensory disturbances.,Consult a neurologist if headaches are frequent or severely impact daily life.,"Maintain a diet rich in magnesium, avoid caffeine and alcohol."
Obsessive-Compulsive Disorder (OCD),"intrusive thoughts, compulsive behaviors, anxiety","Fluoxetine, Clomipramine, Sertraline","Seek therapy, Practice relaxation techniques, Avoid stress","Psychological evaluation, Self-reported questionnaires, Brain imaging (in some cases)",Ongoing (lifelong treatment may be required),"A mental health disorder characterized by persistent, unwanted thoughts and repetitive behaviors.",Seek psychiatric consultation if compulsions interfere with daily activities.,Follow a balanced diet to support brain function; avoid excessive caffeine.
Osteoarthritis,"joint pain, stiffness, reduced flexibility, swelling, urine discoloration, severe abdominal pain, vomiting","Paracetamol, Ibuprofen, Diclofenac","Maintain a healthy weight, Exercise regularly, Avoid heavy lifting","X-ray, MRI, Joint aspiration (for fluid analysis)",Ongoing (symptom management),A degenerative joint disease leading to pain and stiffness.,Consult an orthopedic specialist if pain persists or mobility is affected.,"Consume anti-inflammatory foods like fatty fish, turmeric, and green leafy vegetables."
Osteoporosis,"fragile bones, back pain, loss of height, fractures, blood in urine, sharp back pain, nausea","Calcium, Alendronate, Risedronate","Get regular bone density tests, Eat calcium-rich foods, Avoid smoking","Bone mineral density (BMD) test, X-ray, CT scan",Ongoing (long-term management),A condition where bones become weak and brittle.,Seek an endocrinologist for long-term bone health management.,Increase calcium and vitamin D intake; avoid excessive caffeine and alcohol.
Pancreatic Cancer,"jaundice, weight loss, back pain","Gemcitabine, Nab-paclitaxel, Erlotinib","Avoid alcohol, Maintain a healthy diet, Get regular check-ups","CT scan, MRI, Endoscopic ultrasound, CA 19-9 blood test","Ongoing (depends on stage, from months to years)",A type of cancer that begins in the pancreas and spreads aggressively.,Consult an oncologist if unexplained weight loss or jaundice occurs.,"Follow a high-antioxidant, low-fat diet with plenty of fruits and vegetables."
brain hemorrhage,"altered sensorium, headache, vomiting, weakness of one body side","Mannitol, Dexamethasone, Warfarin","Get medical help immediately, Stay calm, Monitor vitals","CT scan, MRI, Blood tests (coagulation profile)","Variable (depends on recovery process, from weeks to lifelong)",Loss of muscle function due to brain damage from a hemorrhage.,Seek emergency medical care if sudden weakness or loss of function occurs.,Consume foods rich in omega-3s and antioxidants to support brain health.
Peptic ulcer disease,"abdominal pain, indigestion, internal itching, loss of appetite, passage of gases, vomiting","Omeprazole, Ranitidine, Sucralfate","Avoid spicy foods, Eat smaller meals, Take medications as prescribed","Endoscopy, H. pylori test, Barium swallow",1-2 months (acute management),A condition where sores develop on the lining of the stomach or small intestine.,Consult a gastroenterologist if symptoms persist despite treatment.,"Eat probiotic-rich foods, avoid acidic and spicy foods."
Pneumonia,"breathlessness, chest pain, chills, cough, fast heart rate, fatigue, high fever, malaise, phlegm, rusty sputum, sweating","Amoxicillin, Azithromycin, Levofloxacin","Get vaccinated, Avoid smoking, Rest and hydrate","Chest X-ray, Blood culture, Sputum culture",2-4 weeks (depends on severity),"An infection that inflames air sacs in one or both lungs, causing difficulty in breathing.",Seek immediate medical attention if breathing difficulties worsen.,"Consume warm fluids, include vitamin C-rich foods in the diet."
Polycystic Ovary Syndrome (PCOS),"irregular periods, acne, weight gain, infertility, tremors, slow movements, rigid muscles, poor balance","Metformin, Clomiphene, Spironolactone","Maintain a healthy weight, Exercise regularly, Monitor hormone levels","Blood tests (hormones), Ultrasound, Glucose tolerance test",Ongoing (long-term management),A hormonal disorder causing enlarged ovaries with small cysts.,Consult a gynecologist for hormone management and fertility planning.,"Follow a low-carb, high-fiber diet; avoid processed sugars."
Prostate Cancer,"urinary issues, pelvic pain, blood in urine, unexplained fatigue, weight changes, mood swings","Finasteride, Dutasteride, Leuprolide","Get regular screenings, Avoid alcohol, Maintain a healthy diet","PSA blood test, Digital rectal exam (DRE), Biopsy","Variable (depends on stage, from months to years)","A cancer affecting the prostate gland, common in older men.",Consult a urologist or oncologist for early detection and treatment options.,"Eat a diet rich in tomatoes, cruciferous vegetables, and healthy fats."
Psoriasis,"inflammatory nails, joint pain, silver like dusting, skin peeling, skin rash, small dents in nails","Methotrexate, Calcipotriene, Adalimumab","Avoid triggers, Use moisturizers, Practice stress management","Skin biopsy, Blood tests (for inflammation)",Ongoing (chronic management),A chronic autoimmune condition that causes rapid skin cell turnover leading to scaling and inflammation.,Consult a dermatologist for appropriate treatment and monitoring.,"Consume anti-inflammatory foods such as fish, nuts, and leafy greens."
Rheumatoid Arthritis,"joint pain, swelling, stiffness, fatigue, fever, redness, itching, difficulty swallowing","Methotrexate, Sulfasalazine, Hydroxychloroquine","Get regular check-ups, Avoid smoking, Exercise regularly","Blood tests (rheumatoid factor, anti-CCP), X-ray, Ultrasound",Ongoing (lifelong management),An autoimmune disorder causing joint inflammation and damage.,Seek rheumatologist consultation for long-term joint health management.,Eat omega-3-rich foods and avoid processed sugars.
Rickets,"bone pain, delayed growth, skeletal deformities","Vitamin D, Calcium, Phosphate","Get adequate sunlight, Eat a balanced diet, Get regular bone check-ups","Blood tests (vitamin D, calcium, phosphate), X-ray",3-6 months (depends on severity),A disease caused by vitamin D deficiency leading to weakened bones.,Pediatric or endocrinology consultation for growth monitoring and supplementation.,"Include dairy products, fish, and fortified cereals in the diet."
Rosacea,"facial redness, swelling, visible blood vessels, difficulty swallowing, chest tightness, coughing blood","Metronidazole, Azelaic acid, Doxycycline","Avoid triggers like heat and stress, Use gentle skincare products, Wear sunscreen","Skin examination, Blood tests (inflammatory markers)",Ongoing (long-term management),A chronic skin condition causing redness and visible blood vessels on the face.,Consult a dermatologist if persistent redness or flare-ups occur.,"Avoid spicy foods, alcohol, and caffeine."
Schizophrenia,"hallucinations, delusions, disorganized speech","Olanzapine, Risperidone, Quetiapine","Seek therapy, Avoid stress, Stay consistent with medication","Psychological evaluation, MRI, CT scan",Ongoing (lifelong treatment),"A severe mental disorder affecting thoughts, emotions, and behavior.",Regular psychiatric consultation is crucial for medication and therapy.,Maintain a well-balanced diet with omega-3 fatty acids and antioxidants.
Skin Cancer,"new moles, skin changes, bleeding lesions, inability to focus, social withdrawal, restlessness","Imiquimod, Doxorubicin, Methotrexate","Wear sunscreen, Avoid tanning beds, Regular skin check-ups","Skin biopsy, Dermoscopy, MRI","Variable (depends on stage, from months to years)","Abnormal growth of skin cells, often due to UV exposure.",Dermatologist consultation for early detection and treatment.,Eat antioxidant-rich foods like berries and leafy greens.
Sleep Apnea,"loud snoring, gasping during sleep, daytime fatigue, severe dehydration, vomiting, lethargy","CPAP machine, Modafinil, Theophylline","Use a CPAP machine, Avoid alcohol, Sleep on your side","Polysomnography (sleep study), Home sleep apnea test (HSAT)",Ongoing (lifelong management),A sleep disorder where breathing repeatedly stops and starts.,Consult a sleep specialist for management and therapy.,Avoid heavy meals before bedtime and reduce caffeine intake.
Stomach Cancer,"bloating, nausea, weight loss, stomach pain","Cisplatin, Fluorouracil, Docetaxel","Avoid smoking, Limit alcohol intake, Eat a healthy diet","Endoscopy, Biopsy, CT scan","Variable (depends on stage, from months to years)",A cancer that forms in the stomach lining.,Gastroenterology consultation for early detection and treatment.,"Follow a diet high in fiber and antioxidants, avoid processed foods."
Stroke,"sudden numbness, confusion, vision problems, difficulty speaking, persistent fatigue, muscle stiffness, tremors","Aspirin, Clopidogrel, Alteplase","Avoid smoking, Manage blood pressure, Get regular exercise","CT scan, MRI, Carotid ultrasound","Variable (depends on recovery, from weeks to lifelong)",A medical emergency where blood flow to the brain is disrupted.,Seek immediate emergency medical care if symptoms appear.,"Consume heart-healthy foods such as whole grains, fruits, and vegetables."
Tuberculosis,"blood in sputum, breathlessness, chest pain, chills, cough, fatigue, high fever, loss of appetite, malaise, mild fever, phlegm, sweating, swelled lymph nodes, vomiting, weight loss, yellowing of eyes","Isoniazid, Rifampicin, Pyrazinamide","Get vaccinated, Avoid close contact with infected individuals, Regular medical check-ups","Tuberculin skin test (TST), Chest X-ray, Sputum smear microscopy",6-9 months (long-term treatment),A bacterial infection that primarily affects the lungs.,Pulmonology consultation for appropriate treatment and monitoring.,Maintain a protein-rich diet with adequate vitamins and minerals.
Typhoid,"abdominal pain, belly pain, chills, constipation, diarrhoea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting","Ciprofloxacin, Azithromycin, Chloramphenicol","Drink clean water, Avoid uncooked food, Maintain good hygiene","Blood culture, Widal test, Stool culture",1-2 weeks (acute treatment),"A bacterial infection caused by Salmonella Typhi, primarily spread through contaminated food and water.",Seek medical help if high fever persists for more than a few days or symptoms worsen. Consult a general physician or infectious disease specialist.,"Consume a soft, high-calorie diet with fluids. Avoid spicy and fried foods. Increase intake of boiled vegetables and fresh fruits."
Ulcerative Colitis,"abdominal pain, rectal bleeding, diarrhea, recurrent infections, slow wound healing, dizziness","Mesalamine, Prednisolone, Azathioprine","Avoid high-fat foods, Stress management, Take prescribed medication","Colonoscopy, Blood tests (inflammation markers), Stool sample",Ongoing (long-term management),A chronic inflammatory bowel disease (IBD) causing inflammation and ulcers in the digestive tract.,Consult a gastroenterologist if symptoms persist or worsen. Regular follow-ups are necessary for long-term management.,"Follow a low-fiber, low-fat diet during flare-ups. Eat easily digestible foods like cooked vegetables, lean proteins, and probiotics."
Urinary Tract Infection,"bladder discomfort, burning micturition, continuous feel of urine, foul smell of urine","Nitrofurantoin, Trimethoprim, Cephalexin","Stay hydrated, Avoid holding urine, Practice good hygiene","Urine culture, Urinalysis, Blood tests (if needed)",1-2 weeks (acute treatment),"A bacterial infection affecting the urinary system, including the bladder and urethra.","Consult a general physician if experiencing painful urination, frequent urination, or cloudy urine.","Drink plenty of water and cranberry juice. Avoid caffeine, alcohol, and spicy foods to prevent irritation."
Urinary Tract Infection (UTI),"frequent urination, burning sensation, cloudy urine","Ciprofloxacin, Amoxicillin, Nitrofurantoin","Drink plenty of water, Avoid tight clothing, Wipe front to back","Urine culture, Urinalysis, Blood tests (if needed)",1-2 weeks (acute treatment),"A common bacterial infection affecting the urinary tract, leading to discomfort and frequent urination.",Seek medical attention if symptoms persist for more than a few days. A urologist or general physician can diagnose and treat UTIs.,Increase water intake and consume probiotic-rich foods like yogurt. Avoid acidic and spicy foods.
Varicose veins,"bruising, cramps, fatigue, obesity, prominent veins on calf, swollen blood vessels, swollen legs","Compression stockings, Diosmin, Pentoxifylline","Elevate legs, Avoid prolonged standing, Exercise regularly","Ultrasound, Doppler test, Physical examination",Ongoing (symptom management),"Enlarged, twisted veins caused by weakened vein walls and valves, often in the legs.","Consult a vascular specialist if swelling, pain, or skin changes occur.",Consume high-fiber foods and stay hydrated. Include foods rich in flavonoids like berries and citrus fruits.
Vitiligo,"white patches of skin, loss of pigment, persistent bloating, nausea, irregular periods","Clobetasol, Tacrolimus, Methotrexate","Protect skin from sun, Avoid stress, Seek medical advice regularly","Physical examination, Skin biopsy, Blood tests (for autoimmune conditions)",Ongoing (long-term management),A skin condition causing loss of pigmentation due to immune system attack on melanocytes.,Consult a dermatologist for early treatment and to prevent further spread of white patches.,"Eat antioxidant-rich foods like fruits, vegetables, and whole grains. Avoid processed foods and gluten if sensitive."
Whooping Cough (Pertussis),"severe coughing fits, vomiting, fatigue","Azithromycin, Erythromycin, Clarithromycin","Get vaccinated, Avoid close contact with infected individuals, Cover mouth while coughing","PCR test, Nasal swab, Blood test (for antibodies)",1-2 weeks (acute treatment),A highly contagious bacterial infection that causes severe coughing fits.,Seek medical help if coughing fits persist or breathing difficulty occurs. Pediatricians or general physicians can provide treatment.,Stay hydrated with warm fluids like herbal teas and broths. Avoid dairy if it worsens mucus production.
Common Cold,"sneezing, runny nose, sore throat, mild fever","Paracetamol, Ibuprofen, Diphenhydramine","Rest, Drink plenty of fluids, Avoid close contact with sick individuals","Physical examination, PCR test (if needed), Rapid antigen test",3-7 days (self-limiting),A viral respiratory infection causing mild symptoms like sneezing and sore throat.,Consult a doctor if symptoms last longer than 10 days or if breathing difficulties arise.,"Consume warm fluids, honey, and citrus fruits for vitamin C. Avoid cold drinks and junk food."
Flu (Influenza),"fever, chills, body aches, fatigue, sore throat","Oseltamivir, Zanamivir, Paracetamol","Get vaccinated, Avoid close contact with sick individuals, Wash hands regularly","PCR test, Rapid antigen test, Chest X-ray (if complications occur)",7-14 days (acute treatment),"A contagious viral infection causing fever, chills, and body aches.",Visit a doctor if fever is persistent or if breathing problems occur. High-risk individuals should seek early treatment.,"Increase fluid intake and consume nutrient-rich foods like chicken soup, citrus fruits, and garlic. Avoid processed foods."
Hypertension,"headache, dizziness, blurred vision, chest pain","Lisinopril, Amlodipine, Losartan","Monitor blood pressure, Reduce salt intake, Exercise regularly","Blood pressure measurement, Blood tests (kidney function), ECG",Ongoing (lifelong management),A chronic condition where high blood pressure increases the risk of heart disease and stroke.,Consult a cardiologist or general physician for regular monitoring and medication adjustments.,"Follow a low-sodium, high-potassium diet. Eat leafy greens, berries, and whole grains. Avoid processed and salty foods."
Diabetes,"excessive thirst, frequent urination, fatigue, weight loss","Metformin, Glibenclamide, Insulin","Monitor blood sugar, Eat a balanced diet, Exercise regularly","Fasting blood glucose, HbA1c, Urine tests (for ketones)",Ongoing (lifelong management),A chronic metabolic disorder characterized by high blood sugar levels due to insulin deficiency or resistance.,Consult an endocrinologist or general physician for regular monitoring and medication adjustments.,"Follow a low-glycemic diet rich in whole grains, lean proteins, and fiber. Avoid sugary and processed foods."
Food Poisoning,"nausea, vomiting, diarrhea, abdominal pain","Loperamide, Oral rehydration salts, Ciprofloxacin","Drink clean water, Avoid contaminated food, Rest and hydrate","Stool culture, Blood tests (if dehydration is severe), PCR test (if bacterial)",1-2 days (acute treatment),"An illness caused by consuming contaminated food or water, leading to gastrointestinal distress.",Seek medical attention if symptoms persist for more than 48 hours or if dehydration occurs.,"Consume bland foods like rice, bananas, and toast. Avoid dairy and fatty foods until recovery."
Headache,"pain in head, sensitivity to light, nausea","Ibuprofen, Acetaminophen, Sumatriptan","Rest in a quiet, dark room, Stay hydrated, Avoid stress","MRI, CT scan, Blood tests (if symptoms persist)",Variable (episodic treatment),"A common condition with various causes, including tension, migraines, or underlying health issues.",Consult a neurologist or general physician if headaches are frequent or severe.,"Stay hydrated, avoid caffeine overuse, and maintain a balanced diet. Magnesium-rich foods may help."
Fever,"high body temperature, sweating, shivering, weakness","Paracetamol, Ibuprofen, Aspirin","Stay hydrated, Rest, Avoid overheating","Blood tests (to identify the cause), Urine test, Chest X-ray (if pneumonia suspected)",3-7 days (self-limiting),A temporary rise in body temperature often due to infections or inflammation.,Consult a doctor if fever persists beyond three days or is accompanied by severe symptoms.,"Drink plenty of fluids like herbal teas and broths. Eat light, easily digestible foods."
Indigestion,"bloating, nausea, stomach pain, heartburn","Omeprazole, Ranitidine, Antacids","Avoid spicy foods, Eat smaller meals, Avoid late-night eating","Endoscopy, Blood tests (for H. pylori), Stool test",1-2 weeks (acute treatment),"A common digestive issue caused by overeating, stress, or underlying conditions like acid reflux.",Consult a gastroenterologist if symptoms persist or worsen.,"Eat fiber-rich foods, avoid greasy and spicy meals, and chew food thoroughly. Include probiotics in diet."
Viral fever,"fever, headache, cold, cough, body aches","Paracetamol, Ibuprofen, Amoxicillin","Rest, Drink plenty of fluids, Avoid contact with others","Blood tests (for viral infection), Physical examination",7-14 days (acute treatment),"A fever caused by viral infections, often accompanied by respiratory or body aches.","Consult a general physician initially. If complications develop, an infectious disease specialist may be needed.",Stay hydrated with herbal teas and soups. Consume vitamin C-rich foods like citrus fruits and leafy greens.
